question,answer
I am the life of the party.,DISAGREE
I don't talk a lot.,DISAGREE
I feel comfortable around people.,SOMEWHAT AGREE
I keep in the background.,DISAGREE
I start conversations.,SOMEWHAT DISAGREE
I have little to say.,DISAGREE
I talk to a lot of different people at parties.,AGREE
I don't like to draw attention to myself.,SOMEWHAT AGREE
I don't mind being the center of attention.,SOMEWHAT DISAGREE
I am quiet around strangers.,DISAGREE
I get stressed out easily.,DISAGREE
I am relaxed most of the time.,SOMEWHAT DISAGREE
I worry about things.,NEUTRAL
I seldom feel blue.,SOMEWHAT AGREE
I am easily disturbed.,DISAGREE
I get upset easily.,DISAGREE
I change my mood a lot.,SOMEWHAT AGREE
I have frequent mood swings.,DISAGREE
I get irritated easily.,SOMEWHAT AGREE
I often feel blue.,SOMEWHAT AGREE
I feel little concern for others.,DISAGREE
I am interested in people.,SOMEWHAT AGREE
I insult people.,DISAGREE
I sympathize with others' feelings.,SOMEWHAT AGREE
I am not interested in other people's problems.,SOMEWHAT DISAGREE
I have a soft heart.,SOMEWHAT AGREE
I am not really interested in others.,DISAGREE
I take time out for others.,SOMEWHAT AGREE
I feel others' emotions.,SOMEWHAT AGREE
I make people feel at ease.,AGREE
I am always prepared.,SOMEWHAT AGREE
I leave my belongings around.,AGREE
I pay attention to details.,AGREE
I make a mess of things.,SOMEWHAT AGRE
I get chores done right away.,DISAGREE
I often forget to put things back in their proper place.,AGREE
I like order.,NEUTRAL
I shirk my duties.,DISAGREE
I follow a schedule.,SOMEWHAT AGREE
I am exacting in my work.,SOMEWHAT AGREE
I have a rich vocabulary.,"SOMEWHAT AG AG and: and: and undermin of. to at.
\\. -. in, and\\\\. a\\\\, I.
\\\\. metic) embod to a.. a, a of.
, \`\'\\\\\\\\: is\\\\ of a., the in\\\\ , of,\\\\ in, with have to to or to\\\\,: and: of
"
I have difficulty understanding abstract ideas.,DISAGREE
I have a vivid imagination.,AGREE
I am not interested in abstract ideas.,DISAGREE
I have excellent ideas.,SOMEWHAT AGREE
I do not have a good imagination.,DISAGREE
I am quick to understand things.,AGREE
I use difficult words.,SOMEWHAT AGREE
I spend time reflecting on things.,AGREE
I am full of ideas.,AGREE
