sim_signature,p-corr_Airidas_mean,p-corr_Airidas_std,p-corr_Elias_mean,p-corr_Elias_std,mean_residual_Airidas_mean,mean_residual_Airidas_std,mean_residual_Elias_mean,mean_residual_Elias_std,run_number,model,survey_type,base_sim_signature,SUBJECT,prompt method,EMBED_MODEL,CTX_limit,OVERLAP_SIZE,CHUNK_SIZE,retrieval method,date,RETRIEVAL_PROMPT,prompt_template,survey,average_prompt_tokens,total_all_prompt_tokens,prompt_tokens_min,prompt_tokens_max,avg_tokens_in_prompt,timeout,is_base,path,SIMULATION_ID,prompt_count,chunk_count,CHUNKS_COUNT_IN_CTX
airidas-kano-0_llama3-70b_V7,0.572,0.04334743360338647,0.2803333333333333,0.004509249752822877,0.775,0.05000000000000002,1.0833333333333333,0.028867513459481235,0,llama3-70b,KanoSurvey,base-kano-29_llama3-70b_V7,airidas,IMPERSONATE,nomic-embed-text,0,3,75,dynamic,2024-05-06_025124,video game features,"
for question, chunks_most_similar in zip(surv.questions, dynamic_chunks_most_similar):
    p = [
        systemMsg(""\n"".join([
            f""You are an expert actor, specializing in impersonation of non-famous people. You will be presented to the subject through explicit datapoints of their digital footprint. In addition, you will deduct their implicit {SURVEY} by shadowing chats between the subject and friends. You will be asked to fully immerse yourself in the role, and answer questions from the point of view of the persona. \n#Context \n##Chat conversations between the subject and their friends:\n"",
            ""\n\nNEW CONVERSATION:\n"".join(chunks_most_similar)
        ])),     
        assistantMsg(""Understood. I will answer from the point of view of the persona, based on what I could the deduct from the text provided.""),
        userMsg(""\n"".join([
            f""Persona is questioned about their {SURVEY} in {METHOD}. The persona must choose an appropriate answer to the question below with one of these five given options: {', '.join(surv.POSSIBLE_ANSWERS)}. Persona's answer must only contain the chosen option, without any elaboration, nor introduction.\n\n**Your question is:**\n"",
            question,
            ""\nThe persona chooses:""
        ]))]
    final_prompts.append(p)
                ",kano,1410,56408,966,2355,1410,300,False,analysis/sims-final-2\airidas-kano-0_llama3-70b_V7_0.json,airidas-kano-0_llama3-70b_V7_0,40,1.0,0.0
airidas-kano-0_llama3-8b_V7,0.361,0.06425729530566938,0.2663333333333333,0.04072263907623539,0.9916666666666666,0.03818813079129864,1.0666666666666667,0.0629152869605896,0,llama3-8b,KanoSurvey,base-kano-29_llama3-8b_V7,airidas,IMPERSONATE,nomic-embed-text,0,3,75,dynamic,2024-05-06_062545,video game features,"
for question, chunks_most_similar in zip(surv.questions, dynamic_chunks_most_similar):
    p = [
        systemMsg(""\n"".join([
            f""You are an expert actor, specializing in impersonation of non-famous people. You will be presented to the subject through explicit datapoints of their digital footprint. In addition, you will deduct their implicit {SURVEY} by shadowing chats between the subject and friends. You will be asked to fully immerse yourself in the role, and answer questions from the point of view of the persona. \n#Context \n##Chat conversations between the subject and their friends:\n"",
            ""\n\nNEW CONVERSATION:\n"".join(chunks_most_similar)
        ])),     
        assistantMsg(""Understood. I will answer from the point of view of the persona, based on what I could the deduct from the text provided.""),
        userMsg(""\n"".join([
            f""Persona is questioned about their {SURVEY} in {METHOD}. The persona must choose an appropriate answer to the question below with one of these five given options: {', '.join(surv.POSSIBLE_ANSWERS)}. Persona's answer must only contain the chosen option, without any elaboration, nor introduction.\n\n**Your question is:**\n"",
            question,
            ""\nThe persona chooses:""
        ]))]
    final_prompts.append(p)
                ",kano,1410,56408,966,2355,1410,300,False,analysis/sims-final-2\airidas-kano-0_llama3-8b_V7_0.json,airidas-kano-0_llama3-8b_V7_0,40,1.0,0.0
airidas-kano-4000_llama3-70b_V7,0.557,0.03451086785347476,0.10433333333333333,0.05532027958473578,0.8583333333333334,0.05204164998665326,1.2833333333333334,0.052041649986653254,0,llama3-70b,KanoSurvey,base-kano-29_llama3-70b_V7,airidas,IMPERSONATE,nomic-embed-text,4000,3,75,dynamic,2024-05-06_045919,video game features,"
for question, chunks_most_similar in zip(surv.questions, dynamic_chunks_most_similar):
    p = [
        systemMsg(""\n"".join([
            f""You are an expert actor, specializing in impersonation of non-famous people. You will be presented to the subject through explicit datapoints of their digital footprint. In addition, you will deduct their implicit {SURVEY} by shadowing chats between the subject and friends. You will be asked to fully immerse yourself in the role, and answer questions from the point of view of the persona. \n#Context \n##Chat conversations between the subject and their friends:\n"",
            ""\n\nNEW CONVERSATION:\n"".join(chunks_most_similar)
        ])),     
        assistantMsg(""Understood. I will answer from the point of view of the persona, based on what I could the deduct from the text provided.""),
        userMsg(""\n"".join([
            f""Persona is questioned about their {SURVEY} in {METHOD}. The persona must choose an appropriate answer to the question below with one of these five given options: {', '.join(surv.POSSIBLE_ANSWERS)}. Persona's answer must only contain the chosen option, without any elaboration, nor introduction.\n\n**Your question is:**\n"",
            question,
            ""\nThe persona chooses:""
        ]))]
    final_prompts.append(p)
                ",kano,3684,147359,2165,4205,3684,300,False,analysis/sims-final-2\airidas-kano-4000_llama3-70b_V7_0.json,airidas-kano-4000_llama3-70b_V7_0,40,3.0,4.0
airidas-kano-4000_llama3-8b_V7,0.34166666666666673,0.16463393736812995,0.30033333333333334,0.07883104295474806,0.9833333333333333,0.16266017746619277,1.0083333333333335,0.07216878364870323,0,llama3-8b,KanoSurvey,base-kano-29_llama3-8b_V7,airidas,IMPERSONATE,nomic-embed-text,4000,3,75,dynamic,2024-05-06_032423,video game features,"
for question, chunks_most_similar in zip(surv.questions, dynamic_chunks_most_similar):
    p = [
        systemMsg(""\n"".join([
            f""You are an expert actor, specializing in impersonation of non-famous people. You will be presented to the subject through explicit datapoints of their digital footprint. In addition, you will deduct their implicit {SURVEY} by shadowing chats between the subject and friends. You will be asked to fully immerse yourself in the role, and answer questions from the point of view of the persona. \n#Context \n##Chat conversations between the subject and their friends:\n"",
            ""\n\nNEW CONVERSATION:\n"".join(chunks_most_similar)
        ])),     
        assistantMsg(""Understood. I will answer from the point of view of the persona, based on what I could the deduct from the text provided.""),
        userMsg(""\n"".join([
            f""Persona is questioned about their {SURVEY} in {METHOD}. The persona must choose an appropriate answer to the question below with one of these five given options: {', '.join(surv.POSSIBLE_ANSWERS)}. Persona's answer must only contain the chosen option, without any elaboration, nor introduction.\n\n**Your question is:**\n"",
            question,
            ""\nThe persona chooses:""
        ]))]
    final_prompts.append(p)
                ",kano,3684,147359,2165,4205,3684,300,False,analysis/sims-final-2\airidas-kano-4000_llama3-8b_V7_0.json,airidas-kano-4000_llama3-8b_V7_0,40,3.0,4.0
airidas-kano-7500_llama3-70b_V7,0.5873333333333334,0.033291640592397004,0.138,0.036373066958946425,0.775,0.025000000000000022,1.2,0.04330127018922205,0,llama3-70b,KanoSurvey,base-kano-29_llama3-70b_V7,airidas,IMPERSONATE,nomic-embed-text,7500,3,75,dynamic,2024-05-06_071456,video game features,"
for question, chunks_most_similar in zip(surv.questions, dynamic_chunks_most_similar):
    p = [
        systemMsg(""\n"".join([
            f""You are an expert actor, specializing in impersonation of non-famous people. You will be presented to the subject through explicit datapoints of their digital footprint. In addition, you will deduct their implicit {SURVEY} by shadowing chats between the subject and friends. You will be asked to fully immerse yourself in the role, and answer questions from the point of view of the persona. \n#Context \n##Chat conversations between the subject and their friends:\n"",
            ""\n\nNEW CONVERSATION:\n"".join(chunks_most_similar)
        ])),     
        assistantMsg(""Understood. I will answer from the point of view of the persona, based on what I could the deduct from the text provided.""),
        userMsg(""\n"".join([
            f""Persona is questioned about their {SURVEY} in {METHOD}. The persona must choose an appropriate answer to the question below with one of these five given options: {', '.join(surv.POSSIBLE_ANSWERS)}. Persona's answer must only contain the chosen option, without any elaboration, nor introduction.\n\n**Your question is:**\n"",
            question,
            ""\nThe persona chooses:""
        ]))]
    final_prompts.append(p)
                ",kano,7270,290791,5947,7734,7270,300,False,analysis/sims-final-2\airidas-kano-7500_llama3-70b_V7_0.json,airidas-kano-7500_llama3-70b_V7_0,40,6.0,7.0
airidas-kano-7500_llama3-8b_V7,0.3833333333333333,0.09317903913076872,0.10633333333333334,0.11029203658167407,1.0,0.050000000000000044,1.2249999999999999,0.09999999999999995,0,llama3-8b,KanoSurvey,base-kano-29_llama3-8b_V7,airidas,IMPERSONATE,nomic-embed-text,7500,3,75,dynamic,2024-05-06_123116,video game features,"
for question, chunks_most_similar in zip(surv.questions, dynamic_chunks_most_similar):
    p = [
        systemMsg(""\n"".join([
            f""You are an expert actor, specializing in impersonation of non-famous people. You will be presented to the subject through explicit datapoints of their digital footprint. In addition, you will deduct their implicit {SURVEY} by shadowing chats between the subject and friends. You will be asked to fully immerse yourself in the role, and answer questions from the point of view of the persona. \n#Context \n##Chat conversations between the subject and their friends:\n"",
            ""\n\nNEW CONVERSATION:\n"".join(chunks_most_similar)
        ])),     
        assistantMsg(""Understood. I will answer from the point of view of the persona, based on what I could the deduct from the text provided.""),
        userMsg(""\n"".join([
            f""Persona is questioned about their {SURVEY} in {METHOD}. The persona must choose an appropriate answer to the question below with one of these five given options: {', '.join(surv.POSSIBLE_ANSWERS)}. Persona's answer must only contain the chosen option, without any elaboration, nor introduction.\n\n**Your question is:**\n"",
            question,
            ""\nThe persona chooses:""
        ]))]
    final_prompts.append(p)
                ",kano,7270,290791,5947,7734,7270,300,False,analysis/sims-final-2\airidas-kano-7500_llama3-8b_V7_0.json,airidas-kano-7500_llama3-8b_V7_0,40,6.0,7.0
airidas-kano-static-0_llama3-70b_V8,0.6023333333333333,0.011015141094572228,0.20533333333333334,0.020550750189064472,0.8416666666666667,0.014433756729740673,1.2833333333333332,0.03818813079129857,0,llama3-70b,KanoSurvey,base-kano-29_llama3-70b_V7,airidas,IMPERSONATE,nomic-embed-text,0,3,75,static,2024-05-07_050230,video game features,"
for question in surv.questions:
    p = [
        systemMsg(""\n"".join([
            f""You are an expert actor, specializing in impersonation of non-famous people. You will be presented to the subject through explicit datapoints of their digital footprint. In addition, you will deduct their implicit {SURVEY} by shadowing chats between the subject and friends. You will be asked to fully immerse yourself in the role, and answer questions from the point of view of the persona. \n#Context \n##Chat conversations between the subject and their friends:\n"",
            ""\n\nNEW CONVERSATION:\n"".join(chunks_most_similar)
        ])),     
        assistantMsg(""Understood. I will answer from the point of view of the persona, based on what I could the deduct from the text provided.""),
        userMsg(""\n"".join([
            f""Persona is questioned about their {SURVEY} in {METHOD}. The persona must choose an appropriate answer to the question below with one of these five given options: {', '.join(surv.POSSIBLE_ANSWERS)}. Persona's answer must only contain the chosen option, without any elaboration, nor introduction.\n\n**Your question is:**\n"",
            question,
            ""\nThe persona chooses:""
        ]))]
    final_prompts.append(p)
                ",kano,1055,42185,1050,1063,1055,300,False,analysis/sims-final-2\airidas-kano-static-0_llama3-70b_V8_0.json,airidas-kano-static-0_llama3-70b_V8_0,40,1.0,
airidas-kano-static-0_llama3-8b_V8,0.37600000000000006,0.05556977595779923,0.09166666666666667,0.11029656990737896,1.0083333333333333,0.11273124382057237,1.2166666666666666,0.16645820296198477,0,llama3-8b,KanoSurvey,base-kano-29_llama3-8b_V7,airidas,IMPERSONATE,nomic-embed-text,0,3,75,static,2024-05-06_223247,video game features,"
for question in surv.questions:
    p = [
        systemMsg(""\n"".join([
            f""You are an expert actor, specializing in impersonation of non-famous people. You will be presented to the subject through explicit datapoints of their digital footprint. In addition, you will deduct their implicit {SURVEY} by shadowing chats between the subject and friends. You will be asked to fully immerse yourself in the role, and answer questions from the point of view of the persona. \n#Context \n##Chat conversations between the subject and their friends:\n"",
            ""\n\nNEW CONVERSATION:\n"".join(chunks_most_similar)
        ])),     
        assistantMsg(""Understood. I will answer from the point of view of the persona, based on what I could the deduct from the text provided.""),
        userMsg(""\n"".join([
            f""Persona is questioned about their {SURVEY} in {METHOD}. The persona must choose an appropriate answer to the question below with one of these five given options: {', '.join(surv.POSSIBLE_ANSWERS)}. Persona's answer must only contain the chosen option, without any elaboration, nor introduction.\n\n**Your question is:**\n"",
            question,
            ""\nThe persona chooses:""
        ]))]
    final_prompts.append(p)
                ",kano,1055,42185,1050,1063,1055,300,False,analysis/sims-final-2\airidas-kano-static-0_llama3-8b_V8_0.json,airidas-kano-static-0_llama3-8b_V8_0,40,1.0,
airidas-kano-static-4000_llama3-70b_V8,0.5950000000000001,0.052848841046895266,0.169,0.031192947920964435,0.85,0.043301270189221974,1.2249999999999999,0.04330127018922194,0,llama3-70b,KanoSurvey,base-kano-29_llama3-70b_V7,airidas,IMPERSONATE,nomic-embed-text,4000,3,75,static,2024-05-06_230153,video game features,"
for question in surv.questions:
    p = [
        systemMsg(""\n"".join([
            f""You are an expert actor, specializing in impersonation of non-famous people. You will be presented to the subject through explicit datapoints of their digital footprint. In addition, you will deduct their implicit {SURVEY} by shadowing chats between the subject and friends. You will be asked to fully immerse yourself in the role, and answer questions from the point of view of the persona. \n#Context \n##Chat conversations between the subject and their friends:\n"",
            ""\n\nNEW CONVERSATION:\n"".join(chunks_most_similar)
        ])),     
        assistantMsg(""Understood. I will answer from the point of view of the persona, based on what I could the deduct from the text provided.""),
        userMsg(""\n"".join([
            f""Persona is questioned about their {SURVEY} in {METHOD}. The persona must choose an appropriate answer to the question below with one of these five given options: {', '.join(surv.POSSIBLE_ANSWERS)}. Persona's answer must only contain the chosen option, without any elaboration, nor introduction.\n\n**Your question is:**\n"",
            question,
            ""\nThe persona chooses:""
        ]))]
    final_prompts.append(p)
                ",kano,2849,113945,2844,2857,2849,300,False,analysis/sims-final-2\airidas-kano-static-4000_llama3-70b_V8_0.json,airidas-kano-static-4000_llama3-70b_V8_0,40,3.0,
airidas-kano-static-4000_llama3-8b_V8,0.3673333333333333,0.10707162711630624,0.231,0.14018202452525788,0.9916666666666667,0.11814539065631516,1.0166666666666666,0.09464847243000453,0,llama3-8b,KanoSurvey,base-kano-29_llama3-8b_V7,airidas,IMPERSONATE,nomic-embed-text,4000,3,75,static,2024-05-06_223950,video game features,"
for question in surv.questions:
    p = [
        systemMsg(""\n"".join([
            f""You are an expert actor, specializing in impersonation of non-famous people. You will be presented to the subject through explicit datapoints of their digital footprint. In addition, you will deduct their implicit {SURVEY} by shadowing chats between the subject and friends. You will be asked to fully immerse yourself in the role, and answer questions from the point of view of the persona. \n#Context \n##Chat conversations between the subject and their friends:\n"",
            ""\n\nNEW CONVERSATION:\n"".join(chunks_most_similar)
        ])),     
        assistantMsg(""Understood. I will answer from the point of view of the persona, based on what I could the deduct from the text provided.""),
        userMsg(""\n"".join([
            f""Persona is questioned about their {SURVEY} in {METHOD}. The persona must choose an appropriate answer to the question below with one of these five given options: {', '.join(surv.POSSIBLE_ANSWERS)}. Persona's answer must only contain the chosen option, without any elaboration, nor introduction.\n\n**Your question is:**\n"",
            question,
            ""\nThe persona chooses:""
        ]))]
    final_prompts.append(p)
                ",kano,2849,113945,2844,2857,2849,300,False,analysis/sims-final-2\airidas-kano-static-4000_llama3-8b_V8_0.json,airidas-kano-static-4000_llama3-8b_V8_0,40,3.0,
